Unnamed: 0,author,date,text,label,video,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10,major_label
0,Alessandro leite,2014-11-05T22:21:36,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire alï»¿,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
1,Salim Tayara,2014-11-02T14:33:30,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.ï»¿",1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,1
2,Phuc Ly,2014-01-20T15:27:47,go here to check the views :3ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,DropShotSk8r,2014-01-19T04:27:18,"Came here to check the views, goodbye.ï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,css403,2014-11-07T14:25:48,"i am 2,126,492,636 viewer :Dï»¿",0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Giang Nguyen,2014-11-06T04:55:41,https://www.facebook.com/teeLaLaLaï»¿,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
6,Caius Ballad,2014-11-13T00:58:20,imagine if this guy put adsense on with all these views... u could pay ur  morgageï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Holly,2014-11-06T13:41:30,Follow me on Twitter @mscalifornia95ï»¿,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,King uzzy,2014-11-07T23:19:08,Can we reach 3 billion views by December 2014? ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,iKap Taz,2014-11-08T13:34:27,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ï»¿,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,John Plaatt,2014-11-07T22:22:29,On 0:02 u can see the camera man on his glasses....ï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Praise Samuel,2014-11-08T11:10:30,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized nameï»¿,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
12,Malin Linford,2014-11-05T01:13:43,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/postï»¿",1,1,1,-1,1,1,-1,1,-1,-1,-1,0,1
13,Lone Twistt,2013-11-28T17:34:55, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.ï»¿,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0
14,ÐžÐ»ÐµÐ³ ÐŸÐ°ÑÑŒ,2014-11-03T23:29:00,Plizz withing my channel ï»¿,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
