training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.505496		0.688838		0.615526		0.718868		0.000008		0.687874		0.508800		0.714000		0.508800
0.497387		6.599052		0.526068		0.739232		0.085619		6.670427		0.491200		0.712800		0.491200
0.502613		4.049437		0.369731		0.738872		0.022534		4.062356		0.491600		0.712800		0.492400
0.502793		2.842441		0.320045		0.738872		0.012991		2.848035		0.706000		0.712800		0.749200
0.742837		0.602394		0.318058		0.738872		0.000500		0.601412		0.508800		0.714000		0.508800
0.497387		1.702348		0.318107		0.739232		0.007241		1.704328		0.508800		0.714000		0.508800
0.497387		1.541905		0.321779		0.739232		0.005955		1.542640		0.514800		0.714000		0.573600
0.502974		0.761135		0.418585		0.738872		0.000868		0.759506		0.491200		0.713600		0.544800
0.502613		0.768769		0.507102		0.740494		0.000385		0.766495		0.491200		0.714000		0.491200
0.502613		0.950263		0.388128		0.739052		0.001023		0.947271		0.491200		0.714000		0.692000
0.502613		0.722982		0.382022		0.739052		0.000346		0.720114		0.506800		0.714000		0.508000
0.496125		0.805892		0.487023		0.739052		0.000758		0.804607		0.507600		0.714000		0.514400
0.496666		0.732361		0.475841		0.739052		0.000640		0.729827		0.610000		0.714000		0.718800
0.597045		0.651970		0.419514		0.739052		0.000280		0.648924		0.491200		0.714000		0.712400
0.502613		0.689040		0.427368		0.739232		0.000384		0.685690		0.757200		0.714000		0.750800
0.771310		0.633950		0.463686		0.739232		0.000183		0.630462		0.559600		0.714000		0.682800
0.548027		0.638292		0.459400		0.739232		0.000565		0.635276		0.700400		0.714000		0.751600
0.700306		0.599991		0.416208		0.739232		0.000438		0.596247		0.732400		0.714000		0.765200
0.763921		0.605998		0.399084		0.739232		0.000541		0.601893		0.756400		0.712800		0.764400
0.771310		0.580826		0.391491		0.738872		0.000549		0.576607		0.738800		0.712800		0.762400
0.739232		0.573150		0.403317		0.738872		0.000862		0.569222		0.749600		0.712800		0.762800
0.758155		0.563015		0.397810		0.738872		0.000958		0.558714		0.758000		0.712800		0.768400
0.769688		0.562317		0.369075		0.738872		0.001177		0.557609		0.766400		0.712800		0.768400
0.780861		0.557702		0.347262		0.738872		0.001493		0.552738		0.764400		0.712800		0.776000
0.783384		0.556246		0.338731		0.738872		0.001851		0.551097		0.743600		0.712800		0.769600
0.749685		0.581002		0.337862		0.738872		0.003437		0.577597		0.743600		0.712800		0.774400
0.775455		0.572653		0.337397		0.738872		0.002985		0.567386		0.747200		0.712800		0.776400
0.776536		0.572300		0.328800		0.738872		0.003603		0.566658		0.770000		0.714000		0.777200
0.792215		0.545832		0.324690		0.739232		0.003861		0.540728		0.740800		0.714000		0.766000
0.748603		0.573523		0.324265		0.739232		0.006321		0.571379		0.768000		0.714000		0.777200
0.782303		0.543947		0.324558		0.739232		0.005175		0.538226		0.779600		0.714000		0.782800
0.791854		0.540714		0.324998		0.739232		0.005050		0.533768		0.771200		0.714000		0.780800
0.794377		0.543621		0.324687		0.739232		0.005203		0.535396		0.772000		0.714000		0.778400
